Event_ID,SoLEXS_Time,SoLEXS_Count,HEL1OS_Time,HEL1OS_Count,Difference_Minutes
1,2026-06-15 13:15:26,95,2026-06-15 13:30:00,2540,14.57
2,2026-06-15 18:51:19,91,2026-06-15 18:51:00,2322,0.32
