Warning_Time,Flare_Time,Lead_Time,Lead_Minutes
2026-06-13 12:45:45,2026-06-13 12:59:49,0 days 00:14:04,14.066666666666666
2026-06-14 08:58:45,2026-06-14 09:01:56,0 days 00:03:11,3.183333333333333
2026-06-15 12:43:37,2026-06-15 13:15:26,0 days 00:31:49,31.816666666666666
2026-06-15 18:49:52,2026-06-15 18:51:19,0 days 00:01:27,1.45
