Time,Count
2026-06-14 00:45:00,2508
2026-06-14 01:09:00,2325
2026-06-14 05:22:00,2426
2026-06-14 05:37:00,2333
2026-06-14 05:47:00,2496
2026-06-14 06:23:00,2383
2026-06-14 07:06:00,2468
2026-06-14 07:27:00,2369
2026-06-14 09:06:00,2360
2026-06-14 10:42:00,2342
2026-06-14 10:52:00,2625
2026-06-14 11:06:00,2359
2026-06-14 11:39:00,2297
2026-06-14 12:01:00,2393
2026-06-14 12:35:00,2395
2026-06-14 13:32:00,2382
2026-06-14 13:56:00,2455
2026-06-14 15:22:00,2301
2026-06-14 15:47:00,2419
2026-06-14 17:13:00,2494
2026-06-14 17:26:00,2489
2026-06-14 18:00:00,2395
2026-06-14 18:22:00,2301
2026-06-14 19:36:00,2474
2026-06-14 19:49:00,2619
2026-06-14 20:06:00,2425
2026-06-14 20:17:00,2493
2026-06-14 20:32:00,2416
2026-06-14 20:43:00,2397
2026-06-14 22:21:00,2359
2026-06-15 00:14:00,2586
2026-06-15 02:58:00,2444
2026-06-15 04:11:00,2516
2026-06-15 04:25:00,2584
2026-06-15 04:35:00,2365
2026-06-15 05:34:00,2415
2026-06-15 06:26:00,2621
2026-06-15 08:09:00,2730
2026-06-15 09:24:00,2400
2026-06-15 09:59:00,2602
2026-06-15 10:24:00,2451
2026-06-15 10:39:00,2346
2026-06-15 10:55:00,2338
2026-06-15 11:51:00,2332
